epoch,training_loss,training_acc,val_loss,val_acc
212,0.007245723661530047,0.99797636,0.765813376222338,0.8058036
213,0.011036374609399964,0.997147,0.5171932280063629,0.84300596
214,0.017163176854694123,0.9959528,0.7433315089770726,0.7827381
215,0.01190778068501308,0.99650013,0.9131387983049665,0.80505955
216,0.006937629679625597,0.9981091,0.7645738295146397,0.77678573
217,0.006996674547837269,0.9979598,0.8913353426115853,0.76525295
218,0.005475818559040244,0.9985901,1.0445993627820696,0.72991073
219,0.005282055687200175,0.998192,0.7654853548322406,0.75967264
220,0.006029551741529915,0.998474,0.8705634219305856,0.76488096
221,0.004664718106130077,0.998756,0.7853795460292271,0.7645089
222,0.004496472433031483,0.9986067,0.8413613012858799,0.73214287
223,0.004877481945968496,0.998474,0.7204080053738185,0.7901786
224,0.004570762021217703,0.9986399,0.6164302059582302,0.8232887
225,0.004740873824589847,0.9985569,0.5739189045769828,0.81063986
226,0.005329045128730002,0.9988555,0.7777696337018695,0.8020833
227,0.00842173790553982,0.9973958,0.6964270387377057,0.7853423
228,0.007976223389896345,0.9977608,1.1945940000670296,0.69568455
229,0.005669389372191881,0.9983247,0.75740133864539,0.75446427
230,0.005717560234924274,0.9985238,0.6152073655809674,0.77008927
231,0.006298885207357601,0.9979432,0.6907658576965332,0.7354911
232,0.0063005039536486495,0.9981257,0.659974821976253,0.78869045
233,0.006088892119287208,0.998192,0.8636671815599714,0.72693455
234,0.006980650662386023,0.99791,0.5119305976799556,0.8407738
235,0.0072809748574684,0.99797636,0.6750573430742536,0.8061756
236,0.005529451421074798,0.9983247,0.9984373194830758,0.7593006
237,0.006315037460080061,0.99805933,0.5916645314012255,0.8296131
238,0.007900928342246951,0.9975451,0.9195005382810321,0.7146577
239,0.005522793909842516,0.9987062,0.6099433558327811,0.76897323
240,0.006148588695478578,0.9981091,0.5141542170728955,0.8162202
241,0.007016573276548121,0.99791,0.5051640229565757,0.83556545
242,0.006803386269669848,0.9982086,0.5739088995116097,0.8046875
243,0.0068123360079615485,0.9982252,0.8189316391944885,0.7057292
244,0.005312985770689202,0.99842423,0.772892986025129,0.7202381
245,0.0051130694215580485,0.99854034,0.6239749831812722,0.8270089
246,0.00585608354839487,0.9982749,0.48699699555124554,0.85863096
247,0.006622566878774074,0.99797636,0.7742199301719666,0.7693452
248,0.009435437410316971,0.9973129,0.8704631754330227,0.7135417
249,0.013504256373942402,0.99608546,0.901958806174142,0.78348213
250,0.012185597553458822,0.9963011,0.8255794899804252,0.80394346
251,0.009271999013241498,0.9971802,0.8612054927008492,0.77938986
252,0.006544300442230196,0.9980427,0.7419659835951669,0.7682292
253,0.004721225607561641,0.99850714,0.6468905125345502,0.8058036
254,0.004254534227891399,0.998756,0.5814541152545384,0.8005952
255,0.003078278658281929,0.9989882,0.5875539949962071,0.7860863
256,0.0029409358541909692,0.9992536,0.7142975500651768,0.75818455
257,0.00458224919847812,0.998474,0.7495848536491394,0.76227677
258,0.004063346729593293,0.998756,0.618423078741346,0.8515625
259,0.005497266794009192,0.9985901,0.6297025254794529,0.7566964
260,0.005865115820904593,0.9982418,0.5907082557678223,0.7838542
261,0.005351650076724124,0.9984906,0.6529395495142255,0.77008927
262,0.004393990315750115,0.9986067,0.7757513012204852,0.76376486
263,0.0045051736474972575,0.99873936,0.6305548293249947,0.8035714
264,0.0033819132781813515,0.9989219,0.867520136492593,0.72991073
265,0.0029698601673497477,0.99915403,0.7640065721103123,0.77678573
266,0.0050945510172238475,0.998474,0.5973829116140094,0.8110119
267,0.006203525257075569,0.9982418,0.503676882811955,0.85193455
268,0.005214796354576505,0.9985238,0.524840065411159,0.82254463
269,0.005680696008300639,0.99840766,0.8675704513277326,0.7540923
270,0.008408110143264027,0.99777734,0.6076663221631732,0.8005952
271,0.006712382045103009,0.9978271,0.8746664353779384,0.74665177
272,0.005571707060986448,0.99842423,0.5413847693375179,0.84412205
273,0.006220935790230551,0.99800956,0.8822477459907532,0.8110119
274,0.02185802901829934,0.9950737,1.3171176058905465,0.65178573
275,0.026674323411162344,0.9929837,0.8399675233023507,0.71428573
276,0.014101060150211736,0.99545515,0.9861030748912266,0.71800596
